18/03/2015,Amazon UK Retail         ,-29.6
30/03/2015,WEB HOSTING              ,-5.09
30/03/2015,WEB HOSTING              ,-9.11
31/03/2015,WEB HOSTING              ,-4.6
04/04/2015,OYSTER AUTOTOPUP         ,-56
08/04/2015,SAINSBURYS SACAT 0640    ,-16
08/04/2015,LIVE THE ADVENTURE LTD   ,-53
11/04/2015,DEBORAH'S BEAUTY CLINI   ,-89.5
13/04/2015,SHELL CROSSKEY 586       ,-69.03
13/04/2015,MERCURE KIDDERMINS       ,-512
19/03/2015,WAITROSE 578             ,-0.93
23/03/2015,WAITROSE 192             ,-81.31
26/03/2015,WAITROSE 192             ,-8.9
30/03/2015,WAITROSE 192             ,-413.4
02/04/2015,WAITROSE 192             ,-83.81
04/04/2015,WAITROSE 192             ,-812.31
07/04/2015,WAITROSE 578             ,-9.62
13/04/2015,WAITROSE 192             ,-11.38
16/04/2015,WAITROSE 578             ,-8.6
