Date Processed,Description,Amount,
15-Apr-22,WAITROSE 192           CHESHAM       GBR,£214.33,
12-Apr-22,WAITROSE 192           CHESHAM       GBR,£23.67,
09-Apr-22,WAITROSE 192           CHESHAM       GBR,£41.00,
05-Apr-22,WAITROSE 192           CHESHAM       GBR,£83.50,
04-Apr-22,WWW.JOHNLEWIS.COM      03456 049 049 GBR,£10.00,CR
02-Apr-22,WAITROSE 578           AMERSHAM      GBR,£5.61,
02-Apr-22,WAITROSE 192           CHESHAM       GBR,£752.33,
28-Mar-22,WAITROSE 578           AMERSHAM      GBR,£5.73,
28-Mar-22,WWW.JOHNLEWIS.COM      03456 049 049 GBR,£80.00,
26-Mar-22,WAITROSE 192           CHESHAM       GBR,£380.58,
19-Mar-22,WAITROSE 192           CHESHAM       GBR,£399.19,
18-Mar-22,Amazon.co.uk*217727AV4 AMAZON.CO.UK  GBR,£46.99,
23-Mar-22,Spotify UK             London        GBR,£40.71,
26-Mar-22,AMZN Digital*219WT8WH4 353-12477661  GBR,£6.54,
26-Mar-22,Audible UK             adbl.co/pymt  GBR,£67.02,
28-Mar-22,WWW.WOOLACOMBE-BAY-HOT 01271871109   GBR,£996.00,
29-Mar-22,Netflix Services UK Li London        GBR,£0.32,
29-Mar-22,TSOHOST                02078552055   GBR,£2.88,
31-Mar-22,thetrainline.com       +443332022222 GBR,£19.00,
01-Apr-22,Trainline.COM          London        GBR,£88.78,
02-Apr-22,AMERS 40-42 WOODSIDE R AMERSHAM      GBR,£444.70,
04-Apr-22,MARKS&SPENCER PLC      INTERNET      GBR,£91.00,
05-Apr-22,MARKS&SPENCER PLC      INTERNET      GBR,£30.00,
07-Apr-22,The Courtauld Shop     London        GBR,£41.23,
11-Apr-22,DIRECT DEBIT TRANSACTION,"£5,596.90",CR
14-Apr-22,AMZN Digital*2E7HH7V44 353-12477661  GBR,£5.14,
14-Apr-22,MARKS&SPENCER PLC      INTERNET      GBR,£72.00,CR
