Date,Description,Amount(GBP)
04/11/2022,WAITROSE 192           CHESHAM       GBR,314.09
05/11/2022,MARKS & SPENCER,65
07/11/2022,WAITROSE 192           CHESHAM       GBR,82.9
11/11/2022,WAITROSE 192           CHESHAM       GBR,841.61
15/11/2022,WAITROSE 578           AMERSHAM      GBR,68.37
18/11/2022,WAITROSE 192           CHESHAM       GBR,58.75
20/11/2022,WAITROSE 192           CHESHAM       GBR,3.48
21/11/2022,PAYMENT RECEIVED - THANK YOU,-2781.46
22/11/2022,Spotify UK             London        GBR,5.37
22/11/2022,WAITROSE 578           AMERSHAM      GBR,4.52
23/11/2022,MARKS & SPENCER,768
24/11/2022,WAITROSE 578           AMERSHAM      GBR,0.7
25/11/2022,WAITROSE 192           CHESHAM       GBR,22
26/11/2022,GW PLC                 NOTTINGHAM    GBR,16.7
27/11/2022,AMZNMKTPLACE           AMAZON,8.86
28/11/2022,WAITROSE 192           CHESHAM       GBR,42.43
29/11/2022,Netflix                London        GBR,45.22
30/11/2022,AMZNMKTPLACE           AMAZON,22.53
02/12/2022,WAITROSE 192           CHESHAM       GBR,767.76
02/12/2022,Kindle Svcs*1W5Z85LF4  353-12477661  GBR,9.01
