Date,Description,Note,Amount(GBP)
07/05/2025,Waitrose,WAITROSE 578           AMERSHAM      GBR,1.98
07/05/2025,Waitrose,WAITROSE 578           AMERSHAM      GBR,70
02/05/2025,Waitrose,WAITROSE 192           CHESHAM       GBR,295.78
30/04/2025,Dropbox,Dropbox                db.tt/cchelp  IRL,9.97
28/04/2025,Waitrose,WAITROSE 578           AMERSHAM      GBR,7.57
28/04/2025,Lego System A/S,LEGO System A/S        Billund       DNK,423.78
28/04/2025,Apple,APPLE.COM/BILL         APPLE.COM/BIL IRL,6.61
27/04/2025,JP GAMES LTD,JP GAMES LTD           LEEDS         LND,3.8
26/04/2025,Waitrose,WAITROSE 578           AMERSHAM      GBR,0.61
25/04/2025,Waitrose,WAITROSE 192           CHESHAM       GBR,75.84
22/04/2025,Waitrose,WAITROSE 192           CHESHAM       GBR,0.3
21/04/2025,PAYMENT RECEIVED - THANK YOU,,-3740.32
18/04/2025,WAITROSECELLAR.COM,WAITROSECELLAR.COM     LONDON        ENG,555.99
17/04/2025,Waitrose,WAITROSE 192           CHESHAM       GBR,174.63
11/04/2025,Waitrose,WAITROSE 192           CHESHAM       GBR,232.84
11/04/2025,Marks & Spencer,MARKS&SPENCER PLC      INTERNET      GBR,2
